region,method,battery,period,spread
NSW,best_case,2H,2025-01,339
NSW,best_case,2H,2025-02,307
NSW,best_case,2H,2025-03,311
NSW,best_case,2H,2025-04,339
NSW,best_case,2H,2025-05,512
NSW,best_case,2H,2025-06,1204
NSW,best_case,2H,2025-07,195
NSW,best_case,2H,2025-08,230
NSW,best_case,2H,2025-09,204
NSW,best_case,2H,2025-10,251
NSW,best_case,2H,2025-11,407
NSW,best_case,2H,2025-12,305
NSW,best_case,2H,2025-avg,382
NSW,best_case,4H,2025-01,231
NSW,best_case,4H,2025-02,216
NSW,best_case,4H,2025-03,208
NSW,best_case,4H,2025-04,243
NSW,best_case,4H,2025-05,315
NSW,best_case,4H,2025-06,922
NSW,best_case,4H,2025-07,163
NSW,best_case,4H,2025-08,199
NSW,best_case,4H,2025-09,179
NSW,best_case,4H,2025-10,201
NSW,best_case,4H,2025-11,276
NSW,best_case,4H,2025-12,209
NSW,best_case,4H,2025-avg,279
QLD,best_case,2H,2025-01,624
QLD,best_case,2H,2025-02,194
QLD,best_case,2H,2025-03,206
QLD,best_case,2H,2025-04,330
QLD,best_case,2H,2025-05,239
QLD,best_case,2H,2025-06,752
QLD,best_case,2H,2025-07,208
QLD,best_case,2H,2025-08,212
QLD,best_case,2H,2025-09,183
QLD,best_case,2H,2025-10,171
QLD,best_case,2H,2025-11,193
QLD,best_case,2H,2025-12,132
QLD,best_case,2H,2025-avg,287
QLD,best_case,4H,2025-01,388
QLD,best_case,4H,2025-02,160
QLD,best_case,4H,2025-03,163
QLD,best_case,4H,2025-04,244
QLD,best_case,4H,2025-05,180
QLD,best_case,4H,2025-06,558
QLD,best_case,4H,2025-07,179
QLD,best_case,4H,2025-08,188
QLD,best_case,4H,2025-09,161
QLD,best_case,4H,2025-10,149
QLD,best_case,4H,2025-11,165
QLD,best_case,4H,2025-12,117
QLD,best_case,4H,2025-avg,221
VIC,best_case,2H,2025-01,198
VIC,best_case,2H,2025-02,280
VIC,best_case,2H,2025-03,177
VIC,best_case,2H,2025-04,189
VIC,best_case,2H,2025-05,166
VIC,best_case,2H,2025-06,1194
VIC,best_case,2H,2025-07,197
VIC,best_case,2H,2025-08,221
VIC,best_case,2H,2025-09,192
VIC,best_case,2H,2025-10,175
VIC,best_case,2H,2025-11,154
VIC,best_case,2H,2025-12,143
VIC,best_case,2H,2025-avg,272
VIC,best_case,4H,2025-01,169
VIC,best_case,4H,2025-02,218
VIC,best_case,4H,2025-03,151
VIC,best_case,4H,2025-04,165
VIC,best_case,4H,2025-05,137
VIC,best_case,4H,2025-06,909
VIC,best_case,4H,2025-07,170
VIC,best_case,4H,2025-08,192
VIC,best_case,4H,2025-09,168
VIC,best_case,4H,2025-10,153
VIC,best_case,4H,2025-11,137
VIC,best_case,4H,2025-12,126
VIC,best_case,4H,2025-avg,223
SA,best_case,2H,2025-01,237
SA,best_case,2H,2025-02,689
SA,best_case,2H,2025-03,220
SA,best_case,2H,2025-04,222
SA,best_case,2H,2025-05,196
SA,best_case,2H,2025-06,1134
SA,best_case,2H,2025-07,664
SA,best_case,2H,2025-08,247
SA,best_case,2H,2025-09,217
SA,best_case,2H,2025-10,220
SA,best_case,2H,2025-11,191
SA,best_case,2H,2025-12,286
SA,best_case,2H,2025-avg,374
SA,best_case,4H,2025-01,203
SA,best_case,4H,2025-02,439
SA,best_case,4H,2025-03,187
SA,best_case,4H,2025-04,190
SA,best_case,4H,2025-05,159
SA,best_case,4H,2025-06,859
SA,best_case,4H,2025-07,511
SA,best_case,4H,2025-08,203
SA,best_case,4H,2025-09,184
SA,best_case,4H,2025-10,182
SA,best_case,4H,2025-11,163
SA,best_case,4H,2025-12,223
SA,best_case,4H,2025-avg,290
NSW,fixed_time,2H,2025-01,134
NSW,fixed_time,2H,2025-02,158
NSW,fixed_time,2H,2025-03,260
NSW,fixed_time,2H,2025-04,306
NSW,fixed_time,2H,2025-05,452
NSW,fixed_time,2H,2025-06,852
NSW,fixed_time,2H,2025-07,150
NSW,fixed_time,2H,2025-08,185
NSW,fixed_time,2H,2025-09,169
NSW,fixed_time,2H,2025-10,176
NSW,fixed_time,2H,2025-11,-24
NSW,fixed_time,2H,2025-12,174
NSW,fixed_time,2H,2025-avg,249
NSW,fixed_time,4H,2025-01,150
NSW,fixed_time,4H,2025-02,263
NSW,fixed_time,4H,2025-03,91
NSW,fixed_time,4H,2025-04,137
NSW,fixed_time,4H,2025-05,796
NSW,fixed_time,4H,2025-06,176
NSW,fixed_time,4H,2025-07,223
NSW,fixed_time,4H,2025-08,360
NSW,fixed_time,4H,2025-09,157
NSW,fixed_time,4H,2025-10,146
NSW,fixed_time,4H,2025-11,586
NSW,fixed_time,4H,2025-12,266
NSW,fixed_time,4H,2025-avg,280
QLD,fixed_time,2H,2025-01,502
QLD,fixed_time,2H,2025-02,168
QLD,fixed_time,2H,2025-03,168
QLD,fixed_time,2H,2025-04,308
QLD,fixed_time,2H,2025-05,212
QLD,fixed_time,2H,2025-06,594
QLD,fixed_time,2H,2025-07,176
QLD,fixed_time,2H,2025-08,179
QLD,fixed_time,2H,2025-09,157
QLD,fixed_time,2H,2025-10,147
QLD,fixed_time,2H,2025-11,149
QLD,fixed_time,2H,2025-12,104
QLD,fixed_time,2H,2025-avg,239
QLD,fixed_time,4H,2025-01,329
QLD,fixed_time,4H,2025-02,137
QLD,fixed_time,4H,2025-03,128
QLD,fixed_time,4H,2025-04,225
QLD,fixed_time,4H,2025-05,162
QLD,fixed_time,4H,2025-06,517
QLD,fixed_time,4H,2025-07,155
QLD,fixed_time,4H,2025-08,160
QLD,fixed_time,4H,2025-09,141
QLD,fixed_time,4H,2025-10,128
QLD,fixed_time,4H,2025-11,130
QLD,fixed_time,4H,2025-12,99
QLD,fixed_time,4H,2025-avg,192
VIC,fixed_time,2H,2025-01,124
VIC,fixed_time,2H,2025-02,19
VIC,fixed_time,2H,2025-03,113
VIC,fixed_time,2H,2025-04,144
VIC,fixed_time,2H,2025-05,111
VIC,fixed_time,2H,2025-06,803
VIC,fixed_time,2H,2025-07,124
VIC,fixed_time,2H,2025-08,181
VIC,fixed_time,2H,2025-09,150
VIC,fixed_time,2H,2025-10,118
VIC,fixed_time,2H,2025-11,90
VIC,fixed_time,2H,2025-12,99
VIC,fixed_time,2H,2025-avg,173
VIC,fixed_time,4H,2025-01,117
VIC,fixed_time,4H,2025-02,39
VIC,fixed_time,4H,2025-03,101
VIC,fixed_time,4H,2025-04,134
VIC,fixed_time,4H,2025-05,103
VIC,fixed_time,4H,2025-06,749
VIC,fixed_time,4H,2025-07,109
VIC,fixed_time,4H,2025-08,160
VIC,fixed_time,4H,2025-09,138
VIC,fixed_time,4H,2025-10,110
VIC,fixed_time,4H,2025-11,94
VIC,fixed_time,4H,2025-12,94
VIC,fixed_time,4H,2025-avg,162
SA,fixed_time,2H,2025-01,135
SA,fixed_time,2H,2025-02,546
SA,fixed_time,2H,2025-03,129
SA,fixed_time,2H,2025-04,149
SA,fixed_time,2H,2025-05,116
SA,fixed_time,2H,2025-06,716
SA,fixed_time,2H,2025-07,395
SA,fixed_time,2H,2025-08,172
SA,fixed_time,2H,2025-09,143
SA,fixed_time,2H,2025-10,129
